,law_2020_2,law_2016_1,govt_trust_2016_2,govt_trust_2020_8,out_2016_1,out_2016_2,out_2016_3,out_2020_1,out_2020_2,law_diff,govt_trust_diff,group
110,0.0,0.5,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.5,-0.5,0.0,0
111,0.6666666666666666,0.7,1.0,0.5,0.5,1.0,0.5,1.0,0.5,-0.033333333333333326,-0.5,1
112,0.0,0.4,1.0,0.5,1.0,0.0,0.5,1.0,1.0,-0.4,-0.5,1
113,0.0,0.6,0.0,0.0,0.5,1.0,0.5,1.0,0.5,-0.6,0.0,0
114,0.0,0.0,0.0,0.75,0.0,0.0,0.5,1.0,0.5,0.0,0.75,1
115,0.5,0.7,1.0,0.25,1.0,1.0,0.16666666666666666,1.0,1.0,-0.19999999999999996,-0.75,1
116,0.5,0.7,1.0,0.25,0.8333333333333334,1.0,0.16666666666666666,1.0,1.0,-0.19999999999999996,-0.75,1
117,0.0,0.3,0.0,0.75,0.5,0.0,0.16666666666666666,1.0,0.5,-0.3,0.75,1
118,0.0,0.85,0.0,0.25,0.6666666666666666,1.0,0.5,1.0,0.8333333333333334,-0.85,0.25,0
119,0.0,0.2,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,1.0,-0.2,0.0,1
120,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1
121,0.5,0.85,0.0,0.75,0.0,0.0,0.16666666666666666,1.0,0.5,-0.35,0.75,1
122,0.16666666666666666,1.0,0.0,0.75,0.5,0.0,0.5,1.0,1.0,-0.8333333333333334,0.75,0
123,0.0,0.4,0.0,0.25,0.5,1.0,0.8333333333333334,1.0,1.0,-0.4,0.25,1
124,0.0,0.6,0.0,0.0,1.0,1.0,0.8333333333333334,1.0,0.5,-0.6,0.0,0
125,0.3333333333333333,0.61,1.0,0.5,1.0,1.0,0.6666666666666666,0.0,0.8333333333333334,-0.27666666666666667,-0.5,1
126,0.0,0.6,1.0,0.0,0.8333333333333334,0.0,0.5,1.0,0.6666666666666666,-0.6,-1.0,0
127,0.0,0.6,0.0,1.0,1.0,1.0,0.5,1.0,1.0,-0.6,1.0,0
128,0.0,0.6,0.0,0.75,1.0,1.0,0.5,1.0,0.5,-0.6,0.75,0
129,0.0,0.15,1.0,0.25,1.0,1.0,1.0,1.0,1.0,-0.15,-0.75,1
